         2011094 function calls (1975504 primitive calls) in 3.133 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1339(is_interactive)
       36    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:14(SubplotBase)
       48    0.000    0.000    0.004    0.000 __init__.py:1403(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1403(_clear_cache)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       37    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:144(<listcomp>)
       94    0.001    0.000    0.007    0.000 __init__.py:1447(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:1448(setLevel)
        6    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:149(Env)
        1    0.000    0.000    0.000    0.000 __init__.py:15(MosekException)
       20    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
       69    0.000    0.000    0.000    0.000 __init__.py:153(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1572(Task)
        2    0.000    0.000    0.000    0.000 __init__.py:158(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:16(_HasHTML)
      136    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1636(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(check_getitem)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        2    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
        6    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
       95    0.000    0.000    0.000    0.000 __init__.py:185(keys)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        2    0.000    0.000    0.000    0.000 __init__.py:189(caching_module_getattr)
       19    0.000    0.000    0.000    0.000 __init__.py:190(change_key)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       42    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:20(_TPEscape)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
       37    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:209(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        2    0.000    0.000    0.000    0.000 __init__.py:210(<dictcomp>)
       24    0.000    0.000    0.000    0.000 __init__.py:214(__getattr__)
       45    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
       12    0.000    0.000    0.001    0.000 __init__.py:224(define_aliases)
       19    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        1    0.000    0.000    0.000    0.000 __init__.py:22763(LinAlg)
       45    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(Error)
        1    0.000    0.000    0.000    0.000 __init__.py:231(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:235(DeprecatedList)
        1    0.000    0.000    0.000    0.000 __init__.py:238(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.002    0.002 __init__.py:245(_check_versions)
       86    0.000    0.000    0.001    0.000 __init__.py:245(make_alias)
      149    0.000    0.000    0.000    0.000 __init__.py:247(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
      149    0.000    0.000    0.000    0.000 __init__.py:259(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:26(EnumBase)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       12    0.000    0.000    0.000    0.000 __init__.py:265(get_aliased_and_aliases)
       57    0.000    0.000    0.000    0.000 __init__.py:266(<genexpr>)
      136    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:28(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:280(<dictcomp>)
        2    0.000    0.000    0.002    0.001 __init__.py:299(loads)
        6    0.000    0.000    0.000    0.000 __init__.py:317(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:321(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:323(<listcomp>)
       11    0.000    0.000    0.050    0.005 __init__.py:326(__getattr__)
      115    0.003    0.000    0.007    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:330(EntryPoints)
        1    0.000    0.000    0.000    0.000 __init__.py:332(EscapeFormatter)
      105    0.000    0.000    0.000    0.000 __init__.py:336(wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:34(_rename_parameter)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:342(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:345(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:351(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:354(<listcomp>)
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
        1    0.000    0.000    0.000    0.000 __init__.py:357(_MarkupEscapeHelper)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:395(Deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
      482    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:412(PercentStyle)
       19    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
        2    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:432(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
       19    0.000    0.000    0.000    0.000 __init__.py:438(<dictcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        6    0.000    0.000    0.000    0.000 __init__.py:45(__init__)
